[Query   1] 1 (medrank), 1 (bf), 1(real).
[Query 518] 5 (medrank), 5 (bf), 5(real).
[Query 519] 1 (medrank), 1 (bf), 1(real).
[Query 520] 2 (medrank), 2 (bf), 2(real).
[Query 521] 3 (medrank), 3 (bf), 3(real).
[Query 522] 4 (medrank), 4 (bf), 4(real).
[Query 523] 2 (medrank), 2 (bf), 2(real).
[Query 524] 1 (medrank), 1 (bf), 1(real).
[Query 525] 2 (medrank), 2 (bf), 2(real).
[Query 526] 2 (medrank), 2 (bf), 2(real).
[Query 527] 1 (medrank), 1 (bf), 1(real).
[Query 528] 5 (medrank), 5 (bf), 5(real).
[Query 529] 4 (medrank), 4 (bf), 4(real).
[Query 530] 4 (medrank), 4 (bf), 4(real).
[Query 531] 3 (medrank), 3 (bf), 3(real).
[Query 532] 2 (medrank), 2 (bf), 2(real).
[Query 533] 5 (medrank), 5 (bf), 5(real).
[Query 534] 1 (medrank), 1 (bf), 1(real).
[Query 535] 1 (medrank), 1 (bf), 1(real).
[Query 536] 4 (medrank), 4 (bf), 4(real).
[Query 537] 4 (medrank), 4 (bf), 4(real).
[Query 538] 1 (medrank), 1 (bf), 1(real).
[Query 539] 4 (medrank), 4 (bf), 4(real).
[Query 540] 1 (medrank), 1 (bf), 1(real).
[Query 541] 5 (medrank), 5 (bf), 5(real).
[Query 542] 4 (medrank), 4 (bf), 4(real).
[Query 543] 2 (medrank), 2 (bf), 2(real).
[Query 544] 2 (medrank), 2 (bf), 2(real).
[Query 545] 1 (medrank), 1 (bf), 1(real).
[Query 546] 2 (medrank), 2 (bf), 2(real).
[Query 547] 1 (medrank), 1 (bf), 1(real).
[Query 548] 5 (medrank), 5 (bf), 5(real).
[Query 549] 4 (medrank), 4 (bf), 4(real).
[Query 550] 3 (medrank), 3 (bf), 3(real).
[Query 551] 4 (medrank), 4 (bf), 4(real).
[Query 552] 5 (medrank), 5 (bf), 5(real).
[Query 553] 5 (medrank), 5 (bf), 5(real).
[Query 554] 1 (medrank), 1 (bf), 1(real).
[Query 555] 2 (medrank), 2 (bf), 2(real).
[Query 556] 5 (medrank), 5 (bf), 5(real).
[Query 557] 2 (medrank), 2 (bf), 2(real).
[Query 558] 2 (medrank), 2 (bf), 2(real).
[Query 559] 1 (medrank), 1 (bf), 1(real).
[Query 560] 3 (medrank), 3 (bf), 3(real).
[Query 561] 4 (medrank), 4 (bf), 4(real).
[Query 562] 5 (medrank), 5 (bf), 5(real).
[Query 563] 3 (medrank), 3 (bf), 3(real).
[Query 564] 5 (medrank), 5 (bf), 5(real).
[Query 565] 4 (medrank), 4 (bf), 4(real).
[Query 566] 3 (medrank), 3 (bf), 3(real).
[Query 567] 2 (medrank), 2 (bf), 2(real).
[Query 568] 2 (medrank), 2 (bf), 2(real).
[Query 569] 2 (medrank), 2 (bf), 2(real).
[Query 570] 5 (medrank), 5 (bf), 5(real).
[Query 571] 4 (medrank), 4 (bf), 4(real).
[Query 572] 4 (medrank), 4 (bf), 4(real).
[Query 573] 1 (medrank), 1 (bf), 1(real).
[Query 574] 4 (medrank), 4 (bf), 4(real).
[Query 575] 2 (medrank), 2 (bf), 2(real).
[Query 576] 4 (medrank), 4 (bf), 4(real).
[Query 577] 5 (medrank), 5 (bf), 5(real).
[Query 578] 2 (medrank), 2 (bf), 2(real).
[Query 579] 4 (medrank), 4 (bf), 4(real).
[Query 580] 1 (medrank), 1 (bf), 1(real).
[Query 581] 2 (medrank), 2 (bf), 2(real).
[Query 582] 1 (medrank), 1 (bf), 1(real).
[Query 583] 2 (medrank), 2 (bf), 2(real).
[Query 584] 1 (medrank), 1 (bf), 1(real).
[Query 585] 1 (medrank), 1 (bf), 1(real).
[Query 586] 4 (medrank), 4 (bf), 4(real).
[Query 587] 1 (medrank), 1 (bf), 1(real).
[Query 588] 3 (medrank), 3 (bf), 3(real).
[Query 589] 5 (medrank), 5 (bf), 5(real).
[Query 590] 2 (medrank), 2 (bf), 2(real).
[Query 591] 1 (medrank), 1 (bf), 1(real).
[Query 592] 4 (medrank), 4 (bf), 4(real).
[Query 593] 1 (medrank), 1 (bf), 1(real).
[Query 594] 5 (medrank), 5 (bf), 5(real).
[Query 595] 1 (medrank), 1 (bf), 1(real).
[Query 596] 1 (medrank), 1 (bf), 1(real).
[Query 597] 5 (medrank), 5 (bf), 5(real).
[Query 598] 5 (medrank), 5 (bf), 5(real).
[Query 599] 1 (medrank), 1 (bf), 1(real).
[Query 600] 1 (medrank), 1 (bf), 1(real).
[Query 601] 5 (medrank), 5 (bf), 5(real).
[Query 602] 1 (medrank), 1 (bf), 1(real).
[Query 603] 4 (medrank), 4 (bf), 4(real).
[Query 604] 1 (medrank), 1 (bf), 1(real).
[Query 605] 3 (medrank), 3 (bf), 3(real).
[Query 606] 4 (medrank), 4 (bf), 4(real).
[Query 607] 4 (medrank), 4 (bf), 4(real).
[Query 608] 1 (medrank), 1 (bf), 1(real).
[Query 609] 5 (medrank), 5 (bf), 5(real).
[Query 610] 5 (medrank), 5 (bf), 5(real).
[Query 611] 3 (medrank), 3 (bf), 3(real).
[Query 612] 1 (medrank), 1 (bf), 1(real).
[Query 613] 1 (medrank), 1 (bf), 1(real).
[Query 614] 5 (medrank), 5 (bf), 5(real).
[Query 615] 5 (medrank), 5 (bf), 5(real).
[Query 616] 4 (medrank), 4 (bf), 4(real).
[Query 617] 5 (medrank), 5 (bf), 5(real).
[Query 618] 2 (medrank), 2 (bf), 2(real).
[Query 619] 4 (medrank), 4 (bf), 4(real).
[Query 620] 3 (medrank), 3 (bf), 3(real).
[Query 621] 1 (medrank), 1 (bf), 1(real).
[Query 622] 1 (medrank), 1 (bf), 1(real).
[Query 623] 1 (medrank), 1 (bf), 1(real).
[Query 624] 3 (medrank), 3 (bf), 3(real).
[Query 625] 3 (medrank), 3 (bf), 3(real).
[Query 626] 5 (medrank), 5 (bf), 5(real).
[Query 627] 1 (medrank), 1 (bf), 1(real).
[Query 628] 3 (medrank), 3 (bf), 3(real).
[Query 629] 2 (medrank), 2 (bf), 2(real).
[Query 630] 5 (medrank), 5 (bf), 5(real).
[Query 631] 4 (medrank), 4 (bf), 4(real).
[Query 632] 4 (medrank), 4 (bf), 4(real).
[Query 633] 2 (medrank), 2 (bf), 2(real).
[Query 634] 4 (medrank), 4 (bf), 4(real).
[Query 635] 4 (medrank), 4 (bf), 4(real).
[Query 636] 4 (medrank), 4 (bf), 4(real).
[Query 637] 2 (medrank), 2 (bf), 2(real).
[Query 638] 1 (medrank), 1 (bf), 1(real).
[Query 639] 5 (medrank), 5 (bf), 5(real).
[Query 640] 1 (medrank), 1 (bf), 1(real).
[Query 641] 4 (medrank), 4 (bf), 4(real).
[Query 642] 3 (medrank), 3 (bf), 3(real).
[Query 643] 2 (medrank), 2 (bf), 2(real).
[Query 644] 1 (medrank), 1 (bf), 1(real).
[Query 645] 3 (medrank), 3 (bf), 3(real).
[Query 646] 1 (medrank), 1 (bf), 1(real).
[Query 647] 3 (medrank), 3 (bf), 3(real).
[Query 648] 3 (medrank), 3 (bf), 3(real).
[Query 649] 3 (medrank), 3 (bf), 3(real).
[Query 650] 5 (medrank), 5 (bf), 5(real).
[Query 651] 1 (medrank), 1 (bf), 1(real).
[Query 652] 2 (medrank), 2 (bf), 2(real).
[Query 653] 1 (medrank), 1 (bf), 1(real).
[Query 654] 2 (medrank), 2 (bf), 2(real).
[Query 655] 5 (medrank), 5 (bf), 5(real).
[Query 656] 5 (medrank), 5 (bf), 5(real).
[Query 657] 5 (medrank), 5 (bf), 5(real).
[Query 658] 5 (medrank), 5 (bf), 5(real).
[Query 659] 5 (medrank), 5 (bf), 5(real).
[Query 660] 4 (medrank), 4 (bf), 4(real).
[Query 661] 5 (medrank), 5 (bf), 5(real).
[Query 662] 3 (medrank), 3 (bf), 3(real).
[Query 663] 4 (medrank), 4 (bf), 4(real).
[Query 664] 4 (medrank), 4 (bf), 4(real).
[Query 665] 5 (medrank), 5 (bf), 5(real).
[Query 666] 3 (medrank), 3 (bf), 3(real).
[Query 667] 1 (medrank), 1 (bf), 1(real).
[Query 668] 3 (medrank), 3 (bf), 3(real).
[Query 669] 5 (medrank), 5 (bf), 5(real).
[Query 670] 3 (medrank), 3 (bf), 3(real).
[Query 671] 2 (medrank), 2 (bf), 2(real).
[Query 672] 3 (medrank), 3 (bf), 3(real).
[Query 673] 1 (medrank), 1 (bf), 1(real).
[Query 674] 5 (medrank), 5 (bf), 5(real).
[Query 675] 5 (medrank), 5 (bf), 5(real).
[Query 676] 1 (medrank), 1 (bf), 1(real).
[Query 677] 3 (medrank), 3 (bf), 3(real).
[Query 678] 4 (medrank), 4 (bf), 4(real).
[Query 679] 2 (medrank), 2 (bf), 2(real).
[Query 680] 3 (medrank), 3 (bf), 3(real).
[Query 681] 4 (medrank), 4 (bf), 4(real).
[Query 682] 1 (medrank), 1 (bf), 1(real).
[Query 683] 2 (medrank), 2 (bf), 2(real).
[Query 684] 1 (medrank), 1 (bf), 1(real).
[Query 685] 5 (medrank), 5 (bf), 5(real).
[Query 686] 2 (medrank), 2 (bf), 2(real).
[Query 687] 4 (medrank), 4 (bf), 4(real).
[Query 688] 3 (medrank), 3 (bf), 3(real).
[Query 689] 4 (medrank), 4 (bf), 4(real).
[Query 690] 4 (medrank), 4 (bf), 4(real).
[Query 691] 3 (medrank), 3 (bf), 3(real).
[Query 692] 4 (medrank), 4 (bf), 4(real).
[Query 693] 4 (medrank), 4 (bf), 4(real).
[Query 694] 1 (medrank), 1 (bf), 1(real).
[Query 695] 4 (medrank), 4 (bf), 4(real).
[Query 696] 2 (medrank), 2 (bf), 2(real).
[Query 697] 3 (medrank), 3 (bf), 3(real).
[Query 698] 3 (medrank), 3 (bf), 3(real).
[Query 699] 3 (medrank), 3 (bf), 3(real).
[Query 700] 2 (medrank), 2 (bf), 2(real).
[Query 701] 5 (medrank), 5 (bf), 5(real).
[Query 702] 1 (medrank), 1 (bf), 1(real).
[Query 703] 3 (medrank), 3 (bf), 3(real).
[Query 704] 2 (medrank), 2 (bf), 2(real).
[Query 705] 5 (medrank), 5 (bf), 5(real).
[Query 706] 1 (medrank), 1 (bf), 1(real).
[Query 707] 3 (medrank), 3 (bf), 3(real).
[Query 708] 4 (medrank), 4 (bf), 4(real).
[Query 709] 2 (medrank), 2 (bf), 2(real).
[Query 710] 5 (medrank), 5 (bf), 5(real).
[Query 711] 5 (medrank), 5 (bf), 5(real).
[Query 712] 5 (medrank), 5 (bf), 5(real).
[Query 713] 4 (medrank), 4 (bf), 4(real).
[Query 714] 2 (medrank), 2 (bf), 2(real).
[Query 715] 4 (medrank), 4 (bf), 4(real).
[Query 716] 1 (medrank), 1 (bf), 1(real).
[Query 717] 4 (medrank), 4 (bf), 4(real).
[Query 718] 3 (medrank), 3 (bf), 3(real).
[Query 719] 2 (medrank), 2 (bf), 2(real).
[Query 720] 1 (medrank), 1 (bf), 1(real).
[Query 721] 3 (medrank), 3 (bf), 3(real).
[Query 722] 3 (medrank), 3 (bf), 3(real).
[Query 723] 4 (medrank), 4 (bf), 4(real).
[Query 724] 4 (medrank), 4 (bf), 4(real).
[Query 725] 5 (medrank), 5 (bf), 5(real).
[Query 726] 4 (medrank), 4 (bf), 4(real).
[Query 727] 3 (medrank), 3 (bf), 3(real).
[Query 728] 1 (medrank), 1 (bf), 1(real).
[Query 729] 1 (medrank), 1 (bf), 1(real).
[Query 730] 3 (medrank), 3 (bf), 3(real).
[Query 731] 2 (medrank), 2 (bf), 2(real).
[Query 732] 3 (medrank), 3 (bf), 3(real).
[Query 733] 2 (medrank), 2 (bf), 2(real).
[Query 734] 4 (medrank), 4 (bf), 4(real).
[Query 735] 1 (medrank), 1 (bf), 1(real).
[Query 736] 5 (medrank), 5 (bf), 5(real).
[Query 737] 5 (medrank), 5 (bf), 5(real).
[Query 738] 2 (medrank), 2 (bf), 2(real).
[Query 739] 1 (medrank), 1 (bf), 1(real).
[Query 740] 4 (medrank), 4 (bf), 4(real).
[Query 741] 4 (medrank), 4 (bf), 4(real).
[Query 742] 3 (medrank), 3 (bf), 3(real).
[Query 743] 3 (medrank), 3 (bf), 3(real).
[Query 744] 3 (medrank), 3 (bf), 3(real).
[Query 745] 3 (medrank), 3 (bf), 3(real).
[Query 746] 4 (medrank), 4 (bf), 4(real).
[Query 747] 5 (medrank), 5 (bf), 5(real).
[Query 748] 4 (medrank), 4 (bf), 4(real).
[Query 749] 2 (medrank), 2 (bf), 2(real).
[Query 750] 1 (medrank), 1 (bf), 1(real).
[Query 751] 4 (medrank), 4 (bf), 4(real).
[Query 752] 2 (medrank), 2 (bf), 2(real).
[Query 753] 1 (medrank), 1 (bf), 1(real).
[Query 754] 1 (medrank), 1 (bf), 1(real).
[Query 755] 4 (medrank), 4 (bf), 4(real).
[Query 756] 3 (medrank), 3 (bf), 3(real).
[Query 757] 3 (medrank), 3 (bf), 3(real).
[Query 758] 4 (medrank), 4 (bf), 4(real).
[Query 759] 2 (medrank), 2 (bf), 2(real).
[Query 760] 2 (medrank), 2 (bf), 2(real).
[Query 761] 2 (medrank), 2 (bf), 2(real).
[Query 762] 1 (medrank), 1 (bf), 1(real).
[Query 763] 3 (medrank), 3 (bf), 3(real).
[Query 764] 3 (medrank), 3 (bf), 3(real).
[Query 765] 1 (medrank), 1 (bf), 1(real).
[Query 766] 2 (medrank), 2 (bf), 2(real).
[Query 767] 4 (medrank), 4 (bf), 4(real).
[Query 768] 3 (medrank), 3 (bf), 3(real).
[Query 769] 5 (medrank), 5 (bf), 5(real).
[Query 770] 3 (medrank), 3 (bf), 3(real).
[Query 771] 5 (medrank), 5 (bf), 5(real).
[Query 772] 1 (medrank), 1 (bf), 1(real).
[Query 773] 3 (medrank), 3 (bf), 3(real).
[Query 774] 1 (medrank), 1 (bf), 1(real).
[Query 775] 5 (medrank), 5 (bf), 5(real).
[Query 776] 3 (medrank), 3 (bf), 3(real).
[Query 777] 4 (medrank), 4 (bf), 4(real).
[Query 778] 1 (medrank), 1 (bf), 1(real).
[Query 779] 3 (medrank), 3 (bf), 3(real).
[Query 780] 1 (medrank), 1 (bf), 1(real).
[Query 781] 3 (medrank), 3 (bf), 3(real).
[Query 782] 5 (medrank), 5 (bf), 5(real).
[Query 783] 3 (medrank), 3 (bf), 3(real).
[Query 784] 5 (medrank), 5 (bf), 5(real).
[Query 785] 5 (medrank), 5 (bf), 5(real).
[Query 786] 3 (medrank), 3 (bf), 3(real).
[Query 787] 1 (medrank), 1 (bf), 1(real).
[Query 788] 5 (medrank), 5 (bf), 5(real).
[Query 789] 1 (medrank), 1 (bf), 1(real).
[Query 790] 4 (medrank), 4 (bf), 4(real).
[Query 791] 4 (medrank), 4 (bf), 4(real).
[Query 792] 5 (medrank), 5 (bf), 5(real).
[Query 793] 3 (medrank), 3 (bf), 3(real).
[Query 794] 1 (medrank), 1 (bf), 1(real).
[Query 795] 1 (medrank), 1 (bf), 1(real).
[Query 796] 2 (medrank), 2 (bf), 2(real).
[Query 797] 5 (medrank), 5 (bf), 5(real).
[Query 798] 4 (medrank), 4 (bf), 4(real).
[Query 799] 5 (medrank), 5 (bf), 5(real).
[Query 800] 1 (medrank), 1 (bf), 1(real).
[Query 801] 5 (medrank), 5 (bf), 5(real).
[Query 802] 5 (medrank), 5 (bf), 5(real).
[Query 803] 3 (medrank), 3 (bf), 3(real).
[Query 804] 2 (medrank), 2 (bf), 2(real).
[Query 805] 3 (medrank), 3 (bf), 3(real).
[Query 806] 3 (medrank), 3 (bf), 3(real).
[Query 807] 5 (medrank), 5 (bf), 5(real).
[Query 808] 1 (medrank), 1 (bf), 1(real).
[Query 809] 2 (medrank), 2 (bf), 2(real).
[Query 810] 4 (medrank), 4 (bf), 4(real).
[Query 811] 5 (medrank), 5 (bf), 5(real).
[Query 812] 4 (medrank), 4 (bf), 4(real).
[Query 813] 4 (medrank), 4 (bf), 4(real).
[Query 814] 4 (medrank), 4 (bf), 4(real).
[Query 815] 2 (medrank), 2 (bf), 2(real).
[Query 816] 1 (medrank), 1 (bf), 1(real).
[Query 817] 4 (medrank), 4 (bf), 4(real).
[Query 818] 5 (medrank), 5 (bf), 5(real).
[Query 819] 1 (medrank), 1 (bf), 1(real).
[Query 820] 1 (medrank), 1 (bf), 1(real).
[Query 821] 1 (medrank), 1 (bf), 1(real).
[Query 822] 1 (medrank), 1 (bf), 1(real).
[Query 823] 1 (medrank), 1 (bf), 1(real).
[Query 824] 4 (medrank), 4 (bf), 4(real).
[Query 825] 4 (medrank), 4 (bf), 4(real).
[Query 826] 3 (medrank), 3 (bf), 3(real).
[Query 827] 2 (medrank), 2 (bf), 2(real).
[Query 828] 3 (medrank), 3 (bf), 3(real).
[Query 829] 2 (medrank), 2 (bf), 2(real).
[Query 830] 1 (medrank), 1 (bf), 1(real).
[Query 831] 5 (medrank), 5 (bf), 5(real).
[Query 832] 3 (medrank), 3 (bf), 3(real).
[Query 833] 1 (medrank), 1 (bf), 1(real).
[Query 834] 4 (medrank), 4 (bf), 4(real).
[Query 835] 5 (medrank), 5 (bf), 5(real).
[Query 836] 5 (medrank), 5 (bf), 5(real).
[Query 837] 4 (medrank), 4 (bf), 4(real).
[Query 838] 1 (medrank), 1 (bf), 1(real).
[Query 839] 1 (medrank), 1 (bf), 1(real).
[Query 840] 1 (medrank), 1 (bf), 1(real).
[Query 841] 1 (medrank), 1 (bf), 1(real).
[Query 842] 1 (medrank), 1 (bf), 1(real).
[Query 843] 2 (medrank), 2 (bf), 2(real).
[Query 844] 3 (medrank), 3 (bf), 3(real).
[Query 845] 5 (medrank), 5 (bf), 5(real).
[Query 846] 2 (medrank), 2 (bf), 2(real).
[Query 847] 1 (medrank), 1 (bf), 1(real).
[Query 848] 1 (medrank), 1 (bf), 1(real).
[Query 849] 5 (medrank), 5 (bf), 5(real).
[Query 850] 5 (medrank), 5 (bf), 5(real).
[Query 851] 5 (medrank), 5 (bf), 5(real).
[Query 852] 3 (medrank), 3 (bf), 3(real).
[Query 853] 1 (medrank), 1 (bf), 1(real).
[Query 854] 3 (medrank), 3 (bf), 3(real).
[Query 855] 5 (medrank), 5 (bf), 5(real).
[Query 856] 5 (medrank), 5 (bf), 5(real).
[Query 857] 3 (medrank), 3 (bf), 3(real).
[Query 858] 3 (medrank), 3 (bf), 3(real).
[Query 859] 3 (medrank), 3 (bf), 3(real).
[Query 860] 4 (medrank), 4 (bf), 4(real).
[Query 861] 2 (medrank), 2 (bf), 2(real).
[Query 862] 1 (medrank), 1 (bf), 1(real).
[Query 863] 3 (medrank), 3 (bf), 3(real).
[Query 864] 2 (medrank), 2 (bf), 2(real).
[Query 865] 5 (medrank), 5 (bf), 5(real).
[Query 866] 5 (medrank), 5 (bf), 5(real).
[Query 867] 1 (medrank), 1 (bf), 1(real).
[Query 868] 2 (medrank), 2 (bf), 2(real).
[Query 869] 3 (medrank), 3 (bf), 3(real).
[Query 870] 5 (medrank), 5 (bf), 5(real).
[Query 871] 5 (medrank), 5 (bf), 5(real).
[Query 872] 2 (medrank), 2 (bf), 2(real).
[Query 873] 4 (medrank), 4 (bf), 4(real).
[Query 874] 5 (medrank), 5 (bf), 5(real).
[Query 875] 3 (medrank), 3 (bf), 3(real).
[Query 876] 4 (medrank), 4 (bf), 4(real).
[Query 877] 3 (medrank), 3 (bf), 3(real).
[Query 878] 3 (medrank), 3 (bf), 3(real).
[Query 879] 3 (medrank), 3 (bf), 3(real).
[Query 880] 1 (medrank), 1 (bf), 1(real).
[Query 881] 3 (medrank), 3 (bf), 3(real).
[Query 882] 4 (medrank), 4 (bf), 4(real).
[Query 883] 2 (medrank), 2 (bf), 2(real).
[Query 884] 2 (medrank), 2 (bf), 2(real).
[Query 885] 1 (medrank), 1 (bf), 1(real).
[Query 886] 4 (medrank), 4 (bf), 4(real).
[Query 887] 4 (medrank), 4 (bf), 4(real).
[Query 888] 4 (medrank), 4 (bf), 4(real).
[Query 889] 2 (medrank), 2 (bf), 2(real).
[Query 890] 1 (medrank), 1 (bf), 1(real).
[Query 891] 1 (medrank), 1 (bf), 1(real).
[Query 892] 3 (medrank), 3 (bf), 3(real).
[Query 893] 3 (medrank), 3 (bf), 3(real).
[Query 894] 1 (medrank), 1 (bf), 1(real).
[Query 895] 5 (medrank), 5 (bf), 5(real).
[Query 896] 3 (medrank), 3 (bf), 3(real).
[Query 897] 1 (medrank), 1 (bf), 1(real).
[Query 898] 1 (medrank), 1 (bf), 1(real).
[Query 899] 3 (medrank), 3 (bf), 3(real).
[Query 900] 5 (medrank), 5 (bf), 5(real).
[Query 901] 1 (medrank), 1 (bf), 1(real).
[Query 902] 2 (medrank), 2 (bf), 2(real).
[Query 903] 2 (medrank), 2 (bf), 2(real).
[Query 904] 2 (medrank), 2 (bf), 2(real).
[Query 905] 1 (medrank), 1 (bf), 1(real).
[Query 906] 2 (medrank), 2 (bf), 2(real).
[Query 907] 2 (medrank), 2 (bf), 2(real).
[Query 908] 4 (medrank), 4 (bf), 4(real).
[Query 909] 4 (medrank), 4 (bf), 4(real).
[Query 910] 1 (medrank), 1 (bf), 1(real).
[Query 911] 2 (medrank), 2 (bf), 2(real).
[Query 912] 1 (medrank), 1 (bf), 1(real).
[Query 913] 3 (medrank), 3 (bf), 3(real).
[Query 914] 3 (medrank), 3 (bf), 3(real).
[Query 915] 2 (medrank), 2 (bf), 2(real).
[Query 916] 2 (medrank), 2 (bf), 2(real).
[Query 917] 3 (medrank), 3 (bf), 3(real).
[Query 918] 4 (medrank), 4 (bf), 4(real).
[Query 919] 2 (medrank), 2 (bf), 2(real).
[Query 920] 1 (medrank), 1 (bf), 1(real).
[Query 921] 5 (medrank), 5 (bf), 5(real).
[Query 922] 1 (medrank), 1 (bf), 1(real).
[Query 923] 2 (medrank), 2 (bf), 2(real).
[Query 924] 5 (medrank), 5 (bf), 5(real).
[Query 925] 2 (medrank), 2 (bf), 2(real).
[Query 926] 1 (medrank), 1 (bf), 1(real).
[Query 927] 5 (medrank), 5 (bf), 5(real).
[Query 928] 1 (medrank), 1 (bf), 1(real).
[Query 929] 1 (medrank), 1 (bf), 1(real).
[Query 930] 5 (medrank), 5 (bf), 5(real).
[Query 931] 4 (medrank), 4 (bf), 4(real).
[Query 932] 1 (medrank), 1 (bf), 1(real).
[Query 933] 1 (medrank), 1 (bf), 1(real).
[Query 934] 2 (medrank), 2 (bf), 2(real).
[Query 935] 3 (medrank), 3 (bf), 3(real).
[Query 936] 2 (medrank), 2 (bf), 2(real).
[Query 937] 2 (medrank), 2 (bf), 2(real).
[Query 938] 3 (medrank), 3 (bf), 3(real).
[Query 939] 5 (medrank), 5 (bf), 5(real).
[Query 940] 5 (medrank), 5 (bf), 5(real).
[Query 941] 4 (medrank), 4 (bf), 4(real).
[Query 942] 3 (medrank), 3 (bf), 3(real).
[Query 943] 4 (medrank), 4 (bf), 4(real).
[Query 944] 5 (medrank), 5 (bf), 5(real).
[Query 945] 5 (medrank), 5 (bf), 5(real).
[Query 946] 4 (medrank), 4 (bf), 4(real).
[Query 947] 2 (medrank), 2 (bf), 2(real).
[Query 948] 5 (medrank), 5 (bf), 5(real).
[Query 949] 2 (medrank), 2 (bf), 2(real).
[Query 950] 2 (medrank), 2 (bf), 2(real).
[Query 951] 2 (medrank), 2 (bf), 2(real).
[Query 952] 4 (medrank), 4 (bf), 4(real).
[Query 953] 5 (medrank), 5 (bf), 5(real).
[Query 954] 4 (medrank), 4 (bf), 4(real).
[Query 955] 3 (medrank), 3 (bf), 3(real).
[Query 956] 4 (medrank), 4 (bf), 4(real).
[Query 957] 3 (medrank), 3 (bf), 3(real).
[Query 958] 1 (medrank), 1 (bf), 1(real).
[Query 959] 1 (medrank), 1 (bf), 1(real).
[Query 960] 5 (medrank), 5 (bf), 5(real).
[Query 961] 3 (medrank), 3 (bf), 3(real).
[Query 962] 5 (medrank), 5 (bf), 5(real).
[Query 963] 5 (medrank), 5 (bf), 5(real).
[Query 964] 2 (medrank), 2 (bf), 2(real).
[Query 965] 4 (medrank), 4 (bf), 4(real).
[Query 966] 5 (medrank), 5 (bf), 5(real).
[Query 967] 3 (medrank), 3 (bf), 3(real).
[Query 968] 5 (medrank), 5 (bf), 5(real).
[Query 969] 1 (medrank), 1 (bf), 1(real).
[Query 970] 1 (medrank), 1 (bf), 1(real).
[Query 971] 5 (medrank), 5 (bf), 5(real).
[Query 972] 4 (medrank), 4 (bf), 4(real).
[Query 973] 5 (medrank), 5 (bf), 5(real).
[Query 974] 1 (medrank), 1 (bf), 1(real).
[Query 975] 3 (medrank), 3 (bf), 3(real).
[Query 976] 2 (medrank), 2 (bf), 2(real).
[Query 977] 5 (medrank), 5 (bf), 5(real).
[Query 978] 1 (medrank), 1 (bf), 1(real).
[Query 979] 1 (medrank), 1 (bf), 1(real).
[Query 980] 4 (medrank), 4 (bf), 4(real).
[Query 981] 5 (medrank), 5 (bf), 5(real).
[Query 982] 3 (medrank), 3 (bf), 3(real).
[Query 983] 1 (medrank), 1 (bf), 1(real).
[Query 984] 4 (medrank), 4 (bf), 4(real).
[Query 985] 4 (medrank), 4 (bf), 4(real).
[Query 986] 4 (medrank), 4 (bf), 4(real).
[Query 987] 1 (medrank), 1 (bf), 1(real).
[Query 988] 5 (medrank), 5 (bf), 5(real).
[Query 989] 1 (medrank), 1 (bf), 1(real).
[Query 990] 5 (medrank), 5 (bf), 5(real).
[Query 991] 2 (medrank), 2 (bf), 2(real).
[Query 992] 3 (medrank), 3 (bf), 3(real).
[Query 993] 4 (medrank), 4 (bf), 4(real).
[Query 994] 4 (medrank), 4 (bf), 4(real).
[Query 995] 5 (medrank), 5 (bf), 5(real).
[Query 996] 4 (medrank), 4 (bf), 4(real).
[Query 997] 5 (medrank), 5 (bf), 5(real).
[Query 998] 1 (medrank), 1 (bf), 1(real).
[Query 999] 5 (medrank), 5 (bf), 5(real).
[Query 1000] 2 (medrank), 2 (bf), 2(real).
